"region","item","date","price","weight"
"Tigray","Barley",2010-01-01,6.08,8
"Tigray","Barley",2010-02-01,5.91,8
"Tigray","Barley",2010-03-01,5.87,7
"Tigray","Barley",2010-04-01,5.44,8
"Tigray","Barley",2010-05-01,5.69,8
"Tigray","Barley",2010-06-01,5.75,7
"Tigray","Barley",2010-07-01,5.71,8
"Tigray","Barley",2010-08-01,5.79,7
"Tigray","Barley",2010-09-01,5.46,7
"Tigray","Barley",2010-10-01,5.6,7
"Tigray","Barley",2010-11-01,4.73,8
"Tigray","Barley",2010-12-01,4.6,6
"Tigray","Barley",2011-01-01,5.07,8
"Tigray","Barley",2011-02-01,5.24,8
"Tigray","Barley",2011-03-01,5.44,7
"Tigray","Barley",2011-04-01,6.01,8
"Tigray","Barley",2011-05-01,6,7
"Tigray","Barley",2011-06-01,7.01,8
"Tigray","Barley",2011-07-01,6.43,7
"Tigray","Barley",2011-08-01,6.58,6
"Tigray","Barley",2011-09-01,7.19,7
"Tigray","Barley",2011-10-01,6.72,7
"Tigray","Barley",2011-11-01,6.44,8
"Tigray","Barley",2011-12-01,6.69,7
"Tigray","Barley",2012-01-01,7.57,7
"Tigray","Barley",2012-02-01,7.82,8
"Tigray","Barley",2012-03-01,8.01,8
"Tigray","Barley",2012-04-01,7.97,7
"Tigray","Barley",2012-05-01,8.4,8
"Tigray","Barley",2012-06-01,8.06,8
"Tigray","Barley",2012-07-01,8.6,8
"Tigray","Barley",2012-08-01,8.77,8
"Tigray","Barley",2012-09-01,8.44,8
"Tigray","Barley",2012-10-01,8.39,8
"Tigray","Barley",2012-11-01,7.52,8
"Tigray","Barley",2012-12-01,8.34,7
"Tigray","Barley",2013-01-01,8.37,8
"Tigray","Barley",2013-02-01,8.37,7
"Tigray","Barley",2013-03-01,8.48,8
"Tigray","Barley",2013-04-01,9.18,8
"Tigray","Barley",2013-05-01,9.5,7
"Tigray","Barley",2013-06-01,9.84,8
"Tigray","Barley",2013-07-01,10.07,6
"Tigray","Barley",2013-08-01,10.53,5
"Tigray","Barley",2013-09-01,10.71,7
"Tigray","Barley",2013-10-01,9.42,8
"Tigray","Barley",2013-11-01,9.65,8
"Tigray","Barley",2013-12-01,9.48,8
"Tigray","Barley",2014-01-01,9.3,7
"Tigray","Barley",2014-02-01,9.55,8
"Tigray","Barley",2014-03-01,9.35,8
"Tigray","Barley",2014-04-01,9.65,8
"Tigray","Barley",2014-05-01,9.69,8
"Tigray","Barley",2014-06-01,9.84,8
"Tigray","Beer",2010-01-01,6.52,5
"Tigray","Beer",2010-02-01,6.82,4
"Tigray","Beer",2010-03-01,6.65,4
"Tigray","Beer",2010-04-01,6.87,3
"Tigray","Beer",2010-05-01,6.87,3
"Tigray","Beer",2010-06-01,7,2
"Tigray","Beer",2010-07-01,6.89,3
"Tigray","Beer",2010-08-01,6.98,3
"Tigray","Beer",2010-09-01,7,1
"Tigray","Beer",2010-10-01,7,1
"Tigray","Beer",2010-11-01,7,1
"Tigray","Beer",2010-12-01,7,2
"Tigray","Beer",2011-01-01,9,2
"Tigray","Beer",2011-02-01,7.1,1
"Tigray","Beer",2011-03-01,7.75,2
"Tigray","Beer",2011-04-01,7,1
"Tigray","Beer",2011-05-01,7.83,3
"Tigray","Beer",2011-06-01,8.59,2
"Tigray","Beer",2011-08-01,10,1
"Tigray","Beer",2011-09-01,10,2
"Tigray","Beer",2011-10-01,10,1
"Tigray","Beer",2011-11-01,10,2
"Tigray","Beer",2011-12-01,10,2
"Tigray","Beer",2012-01-01,10,2
"Tigray","Beer",2012-02-01,10,2
"Tigray","Beer",2012-03-01,10.66,2
"Tigray","Beer",2012-04-01,10,2
"Tigray","Beer",2012-05-01,9.78,3
"Tigray","Beer",2012-06-01,10.66,2
"Tigray","Beer",2012-07-01,10.66,2
"Tigray","Beer",2012-08-01,10.44,3
"Tigray","Beer",2012-09-01,11,2
"Tigray","Beer",2012-10-01,10.44,3
